Time [s],PIN 0,TX
1.645327167,0,0
1.645766542,1,0
1.645829792,0,0
1.645986542,0,1
1.646455458,0,0
1.646895083,1,0
1.646958333,0,0
1.647115250,0,1
1.647584208,0,0
1.648023500,1,0
1.648086750,0,0
1.648243583,0,1
1.648712417,0,0
1.649152000,1,0
1.649215250,0,0
1.649372000,0,1
1.649841292,0,0
1.650280458,1,0
1.650343667,0,0
1.650500542,0,1
1.650969792,0,0
1.651408750,1,0
1.651472000,0,0
1.651628917,0,1
1.652097917,0,0
1.652537208,1,0
1.652600500,0,0
1.652757708,0,1
1.653226500,0,0
1.653665750,1,0
1.653729000,0,0
1.653886000,0,1
1.654354833,0,0
1.654794208,1,0
1.654857417,0,0
1.655014583,0,1
1.655483625,0,0
1.655922583,1,0
1.655985792,0,0
1.656142667,0,1
1.656611667,0,0
1.657051042,1,0
1.657114292,0,0
1.657271375,0,1
1.657740167,0,0
1.658179500,1,0
1.658242750,0,0
1.658399542,0,1
1.658868667,0,0
1.659307958,1,0
1.659371167,0,0
1.659528167,0,1
1.659997083,0,0
1.660436375,1,0
1.660499625,0,0
1.660656667,0,1
1.661125375,0,0
1.661564792,1,0
1.661628042,0,0
1.661784750,0,1
1.662253375,0,0
1.662693250,1,0
1.662756500,0,0
1.662913542,0,1
1.663382333,0,0
1.663821750,1,0
1.663885000,0,0
1.664041750,0,1
1.664510917,0,0
1.664950167,1,0
1.665013417,0,0
1.665170042,0,1
1.665638625,0,0
1.666078625,1,0
1.666141833,0,0
1.666298458,0,1
1.666767167,0,0
1.667207042,1,0
1.667270292,0,0
1.667427333,0,1
1.667895833,0,0
1.668335458,1,0
1.668398708,0,0
1.668555500,0,1
1.669024792,0,0
1.669463958,1,0
1.669527167,0,0
1.669683958,0,1
1.670152417,0,0
1.670592333,1,0
1.670655625,0,0
1.670812167,0,1
1.671280583,0,0
1.671720875,1,0
1.671784083,0,0
1.671940875,0,1
1.672410042,0,0
1.672849375,1,0
1.672912583,0,0
1.673069375,0,1
1.673538292,0,0
1.673977792,1,0
1.674041042,0,0
1.674197958,0,1
1.674666875,0,0
1.675106167,1,0
1.675169417,0,0
1.675326542,0,1
1.675795917,0,0
1.676234667,1,0
1.676297917,0,0
1.676454750,0,1
1.676924042,0,0
1.677363125,1,0
1.677426333,0,0
1.677583375,0,1
1.678052250,0,0
1.678491583,1,0
1.678554833,0,0
1.678711792,0,1
1.679180542,0,0
1.679620000,1,0
1.679683250,0,0
1.679840042,0,1
1.680308667,0,0
1.680748417,1,0
1.680811625,0,0
1.680968708,0,1
1.681436917,0,0
1.681876875,1,0
1.681940125,0,0
1.682096875,0,1
1.682565667,0,0
1.683005250,1,0
1.683068500,0,0
1.683225375,0,1
1.683694125,0,0
1.684133708,1,0
1.684196917,0,0
1.684353875,0,1
1.684822833,0,0
1.685262167,1,0
1.685325458,0,0
1.685482167,0,1
1.685951167,0,0
1.686390667,1,0
1.686453875,0,0
1.686610833,0,1
1.687079708,0,0
1.687519167,1,0
1.687582375,0,0
1.687738833,0,1
1.688208167,0,0
1.688647542,1,0
1.688710792,0,0
1.688867417,0,1
1.689336458,0,0
1.689776000,1,0
1.689839250,0,0
1.689995958,0,1
1.690464875,0,0
1.690904458,1,0
1.690967667,0,0
1.691124375,0,1
1.691593417,0,0
1.692032917,1,0
1.692096167,0,0
1.692253125,0,1
1.692722000,0,0
1.693161292,1,0
1.693224583,0,0
1.693381417,0,1
1.693850500,0,0
1.694289833,1,0
1.694353042,0,0
1.694510042,0,1
1.694978625,0,0
1.695418250,1,0
1.695481500,0,0
1.695638375,0,1
1.696107458,0,0
1.696546708,1,0
1.696609917,0,0
1.696767042,0,1
1.697236208,0,0
1.697675167,1,0
1.697738375,0,0
1.697895167,0,1
1.698363833,0,0
1.698803542,1,0
1.698866792,0,0
1.699023375,0,1
1.699492500,0,0
1.699932042,1,0
1.699995250,0,0
1.700152167,0,1
1.700620750,0,0
1.701060417,1,0
1.701123625,0,0
1.701280792,0,1
1.701749708,0,0
1.702188917,1,0
1.702252125,0,0
1.702408958,0,1
1.702878042,0,0
1.703317375,1,0
1.703380625,0,0
1.703537417,0,1
1.704006125,0,0
1.704445750,1,0
1.704509000,0,0
1.704666042,0,1
1.705134417,0,0
1.705574208,1,0
1.705637458,0,0
1.705794250,0,1
1.706262917,0,0
1.706702708,1,0
1.706765917,0,0
1.706922833,0,1
1.707392125,0,0
1.707831125,1,0
1.707894375,0,0
1.708051417,0,1
1.708520250,0,0
1.708959583,1,0
1.709022833,0,0
1.709179500,0,1
1.709648125,0,0
1.710088042,1,0
1.710151250,0,0
1.710308250,0,1
1.710777125,0,0
1.711216458,1,0
1.711279667,0,0
1.711436458,0,1
1.711905792,0,0
1.712344875,1,0
1.712408125,0,0
1.712564917,0,1
1.713033708,0,0
1.713473292,1,0
1.713536542,0,0
1.713693750,0,1
1.714163125,0,0
1.714601792,1,0
1.714665083,0,0
1.714822167,0,1
1.715291167,0,0
1.715730208,1,0
1.715793500,0,0
1.715950292,0,1
1.716419083,0,0
1.716858708,1,0
1.716921958,0,0
1.717078667,0,1
1.717547458,0,0
1.717987125,1,0
1.718050333,0,0
1.718207042,0,1
1.718675958,0,0
1.719115542,1,0
1.719178750,0,0
1.719335333,0,1
1.719804083,0,0
1.720244083,1,0
1.720307333,0,0
1.720464250,0,1
1.720933083,0,0
1.721372500,1,0
1.721435792,0,0
1.721592708,0,1
1.722061875,0,0
1.722500875,1,0
1.722564125,0,0
1.722720833,0,1
1.723189958,0,0
